Printing Modifier Definitions:
Tag: build_cost, Categories: country
Tag: appoint_dictator_cost_modifier, Categories: country
Tag: hold_triumph_cost_modifier, Categories: country
Tag: hold_games_price_cost_modifier, Categories: country
Tag: smear_character_cost_modifier, Categories: country
Tag: assassinate_attempt_cost_modifier, Categories: country
Tag: inspire_disloyalty_cost_modifier, Categories: country
Tag: build_roads_cost_modifier, Categories: country
Tag: build_expensive_roads_cost_modifier, Categories: country
Tag: raid_cost_modifier, Categories: country
Tag: citizen_move_cost_modifier, Categories: country
Tag: freemen_move_cost_modifier, Categories: country
Tag: tribesmen_move_cost_modifier, Categories: country
Tag: slaves_move_cost_modifier, Categories: country
Tag: desecrate_cost_modifier, Categories: country
Tag: build_border_fort_cost_modifier, Categories: country
Tag: create_military_colony_cost_modifier, Categories: country
Tag: raise_levies_cost_modifier, Categories: country
Tag: recruit_character_cost_modifier, Categories: country
Tag: recruit_general_cost_modifier, Categories: country
Tag: secude_governor_cost_modifier, Categories: country
Tag: price_imprison_cost_modifier, Categories: country
Tag: price_execute_cost_modifier, Categories: country
Tag: price_sacrifice_cost_modifier, Categories: country
Tag: subject_pays_tributary_cost_modifier, Categories: country
Tag: subject_pays_feudatory_cost_modifier, Categories: country
Tag: subject_pays_vassal_cost_modifier, Categories: country
Tag: subject_pays_satrapy_cost_modifier, Categories: country
Tag: subject_client_state_pays_cost_modifier, Categories: country
Tag: subject_colony_pays_cost_modifier, Categories: country
Tag: price_convert_religion_cost_modifier, Categories: country
Tag: price_propose_marriage_cost_modifier, Categories: country
Tag: price_support_primary_heir_cost_modifier, Categories: country
Tag: price_grant_laurels_cost_modifier, Categories: country
Tag: price_tutor_heir_cost_modifier, Categories: country
Tag: price_stipends_cost_modifier, Categories: country
Tag: price_arena_match_cost_modifier, Categories: country
Tag: price_reward_veterans_cost_modifier, Categories: country
Tag: price_civic_party_action_cost_modifier, Categories: country
Tag: price_military_party_action_cost_modifier, Categories: country
Tag: price_mercantile_party_action_cost_modifier, Categories: country
Tag: price_religious_party_action_cost_modifier, Categories: country
Tag: price_populist_party_action_cost_modifier, Categories: country
Tag: price_state_investment_military_cost_modifier, Categories: country
Tag: price_state_investment_civic_cost_modifier, Categories: country
Tag: price_state_investment_oratory_cost_modifier, Categories: country
Tag: price_state_investment_religious_cost_modifier, Categories: country
Tag: price_oaths_of_allegiance_button_cost_modifier, Categories: country
Tag: price_patron_of_arts_button_cost_modifier, Categories: country
Tag: price_assemble_raiding_party_button_cost_modifier, Categories: country
Tag: price_bring_to_trial_cost_modifier, Categories: country
Tag: price_root_out_pirates_cost_modifier, Categories: country
Tag: price_anabasis_cost_modifier, Categories: country
Tag: price_local_civ_button_cost_modifier, Categories: country
Tag: price_scheme_abort_cost_modifier, Categories: country
Tag: price_found_city_cost_modifier, Categories: country
Tag: price_found_metropolis_cost_modifier, Categories: country
Tag: price_revoke_city_status_cost_modifier, Categories: country
Tag: price_revoke_metropolis_status_cost_modifier, Categories: country
Tag: stability_cost_modifier, Categories: country
Tag: enact_law_cost_modifier, Categories: country
Tag: buy_invention_cost_modifier, Categories: country
Tag: buy_idea_cost_modifier, Categories: country
Tag: call_omen_cost_modifier, Categories: country
Tag: fabricate_claim_cost_modifier, Categories: country
Tag: support_rebels_cost_modifier, Categories: country
Tag: endorse_party_cost_modifier, Categories: country
Tag: create_trade_route_cost_modifier, Categories: country
Tag: send_gift_cost_modifier, Categories: country
Tag: improve_relation_cost_modifier, Categories: country
Tag: insult_cost_modifier, Categories: country
Tag: inspire_devotio_cost_modifier, Categories: country
Tag: recruit_mercenary_cost_modifier, Categories: country
Tag: start_migration_cost_modifier, Categories: country
Tag: buy_military_tradition_cost_modifier, Categories: country
Tag: change_governor_policy_cost_modifier, Categories: country
Tag: increase_legitimacy_cost_modifier, Categories: country
Tag: change_diplomatic_stance_cost_modifier, Categories: country
Tag: force_through_senate_cost_modifier, Categories: country
Tag: monarchy_new_ruler_cost_modifier, Categories: country
Tag: tribe_new_ruler_cost_modifier, Categories: country
Tag: same_party_re_elected_cost_modifier, Categories: country
Tag: new_ruling_party_cost_modifier, Categories: country
Tag: war_breaking_truce_cost_modifier, Categories: country
Tag: war_breaking_truce_with_guarantor_cost_modifier, Categories: country
Tag: war_great_relations_cost_modifier, Categories: country
Tag: war_good_relations_cost_modifier, Categories: country
Tag: war_when_military_acces_cost_modifier, Categories: country
Tag: war_no_cb_cost_modifier, Categories: country
Tag: war_on_subject_cost_modifier, Categories: country
Tag: archers_discipline, Categories: country
Tag: archers_morale, Categories: country
Tag: archers_offensive, Categories: country
Tag: archers_defensive, Categories: country
Tag: archers_cost, Categories: country
Tag: archers_maintenance_cost, Categories: country
Tag: archers_movement_speed, Categories: country
Tag: camels_discipline, Categories: country
Tag: camels_morale, Categories: country
Tag: camels_offensive, Categories: country
Tag: camels_defensive, Categories: country
Tag: camels_cost, Categories: country
Tag: camels_maintenance_cost, Categories: country
Tag: camels_movement_speed, Categories: country
Tag: chariots_discipline, Categories: country
Tag: chariots_morale, Categories: country
Tag: chariots_offensive, Categories: country
Tag: chariots_defensive, Categories: country
Tag: chariots_cost, Categories: country
Tag: chariots_maintenance_cost, Categories: country
Tag: chariots_movement_speed, Categories: country
Tag: heavy_cavalry_discipline, Categories: country
Tag: heavy_cavalry_morale, Categories: country
Tag: heavy_cavalry_offensive, Categories: country
Tag: heavy_cavalry_defensive, Categories: country
Tag: heavy_cavalry_cost, Categories: country
Tag: heavy_cavalry_maintenance_cost, Categories: country
Tag: heavy_cavalry_movement_speed, Categories: country
Tag: heavy_infantry_discipline, Categories: country
Tag: heavy_infantry_morale, Categories: country
Tag: heavy_infantry_offensive, Categories: country
Tag: heavy_infantry_defensive, Categories: country
Tag: heavy_infantry_cost, Categories: country
Tag: heavy_infantry_maintenance_cost, Categories: country
Tag: heavy_infantry_movement_speed, Categories: country
Tag: horse_archers_discipline, Categories: country
Tag: horse_archers_morale, Categories: country
Tag: horse_archers_offensive, Categories: country
Tag: horse_archers_defensive, Categories: country
Tag: horse_archers_cost, Categories: country
Tag: horse_archers_maintenance_cost, Categories: country
Tag: horse_archers_movement_speed, Categories: country
Tag: light_cavalry_discipline, Categories: country
Tag: light_cavalry_morale, Categories: country
Tag: light_cavalry_offensive, Categories: country
Tag: light_cavalry_defensive, Categories: country
Tag: light_cavalry_cost, Categories: country
Tag: light_cavalry_maintenance_cost, Categories: country
Tag: light_cavalry_movement_speed, Categories: country
Tag: light_infantry_discipline, Categories: country
Tag: light_infantry_morale, Categories: country
Tag: light_infantry_offensive, Categories: country
Tag: light_infantry_defensive, Categories: country
Tag: light_infantry_cost, Categories: country
Tag: light_infantry_maintenance_cost, Categories: country
Tag: light_infantry_movement_speed, Categories: country
Tag: supply_train_discipline, Categories: country
Tag: supply_train_morale, Categories: country
Tag: supply_train_offensive, Categories: country
Tag: supply_train_defensive, Categories: country
Tag: supply_train_cost, Categories: country
Tag: supply_train_maintenance_cost, Categories: country
Tag: supply_train_movement_speed, Categories: country
Tag: warelephant_discipline, Categories: country
Tag: warelephant_morale, Categories: country
Tag: warelephant_offensive, Categories: country
Tag: warelephant_defensive, Categories: country
Tag: warelephant_cost, Categories: country
Tag: warelephant_maintenance_cost, Categories: country
Tag: warelephant_movement_speed, Categories: country
Tag: liburnian_discipline, Categories: country
Tag: liburnian_morale, Categories: country
Tag: liburnian_offensive, Categories: country
Tag: liburnian_defensive, Categories: country
Tag: liburnian_cost, Categories: country
Tag: liburnian_maintenance_cost, Categories: country
Tag: liburnian_movement_speed, Categories: country
Tag: trireme_discipline, Categories: country
Tag: trireme_morale, Categories: country
Tag: trireme_offensive, Categories: country
Tag: trireme_defensive, Categories: country
Tag: trireme_cost, Categories: country
Tag: trireme_maintenance_cost, Categories: country
Tag: trireme_movement_speed, Categories: country
Tag: tetrere_discipline, Categories: country
Tag: tetrere_morale, Categories: country
Tag: tetrere_offensive, Categories: country
Tag: tetrere_defensive, Categories: country
Tag: tetrere_cost, Categories: country
Tag: tetrere_maintenance_cost, Categories: country
Tag: tetrere_movement_speed, Categories: country
Tag: hexere_discipline, Categories: country
Tag: hexere_morale, Categories: country
Tag: hexere_offensive, Categories: country
Tag: hexere_defensive, Categories: country
Tag: hexere_cost, Categories: country
Tag: hexere_maintenance_cost, Categories: country
Tag: hexere_movement_speed, Categories: country
Tag: octere_discipline, Categories: country
Tag: octere_morale, Categories: country
Tag: octere_offensive, Categories: country
Tag: octere_defensive, Categories: country
Tag: octere_cost, Categories: country
Tag: octere_maintenance_cost, Categories: country
Tag: octere_movement_speed, Categories: country
Tag: mega_galley_discipline, Categories: country
Tag: mega_galley_morale, Categories: country
Tag: mega_galley_offensive, Categories: country
Tag: mega_galley_defensive, Categories: country
Tag: mega_galley_cost, Categories: country
Tag: mega_galley_maintenance_cost, Categories: country
Tag: mega_galley_movement_speed, Categories: country
Tag: archers_plains_combat_bonus, Categories: country
Tag: camels_plains_combat_bonus, Categories: country
Tag: chariots_plains_combat_bonus, Categories: country
Tag: heavy_cavalry_plains_combat_bonus, Categories: country
Tag: heavy_infantry_plains_combat_bonus, Categories: country
Tag: horse_archers_plains_combat_bonus, Categories: country
Tag: light_cavalry_plains_combat_bonus, Categories: country
Tag: light_infantry_plains_combat_bonus, Categories: country
Tag: supply_train_plains_combat_bonus, Categories: country
Tag: warelephant_plains_combat_bonus, Categories: country
Tag: liburnian_plains_combat_bonus, Categories: country
Tag: trireme_plains_combat_bonus, Categories: country
Tag: tetrere_plains_combat_bonus, Categories: country
Tag: hexere_plains_combat_bonus, Categories: country
Tag: octere_plains_combat_bonus, Categories: country
Tag: mega_galley_plains_combat_bonus, Categories: country
Tag: archers_mountain_combat_bonus, Categories: country
Tag: camels_mountain_combat_bonus, Categories: country
Tag: chariots_mountain_combat_bonus, Categories: country
Tag: heavy_cavalry_mountain_combat_bonus, Categories: country
Tag: heavy_infantry_mountain_combat_bonus, Categories: country
Tag: horse_archers_mountain_combat_bonus, Categories: country
Tag: light_cavalry_mountain_combat_bonus, Categories: country
Tag: light_infantry_mountain_combat_bonus, Categories: country
Tag: supply_train_mountain_combat_bonus, Categories: country
Tag: warelephant_mountain_combat_bonus, Categories: country
Tag: liburnian_mountain_combat_bonus, Categories: country
Tag: trireme_mountain_combat_bonus, Categories: country
Tag: tetrere_mountain_combat_bonus, Categories: country
Tag: hexere_mountain_combat_bonus, Categories: country
Tag: octere_mountain_combat_bonus, Categories: country
Tag: mega_galley_mountain_combat_bonus, Categories: country
Tag: archers_hills_combat_bonus, Categories: country
Tag: camels_hills_combat_bonus, Categories: country
Tag: chariots_hills_combat_bonus, Categories: country
Tag: heavy_cavalry_hills_combat_bonus, Categories: country
Tag: heavy_infantry_hills_combat_bonus, Categories: country
Tag: horse_archers_hills_combat_bonus, Categories: country
Tag: light_cavalry_hills_combat_bonus, Categories: country
Tag: light_infantry_hills_combat_bonus, Categories: country
Tag: supply_train_hills_combat_bonus, Categories: country
Tag: warelephant_hills_combat_bonus, Categories: country
Tag: liburnian_hills_combat_bonus, Categories: country
Tag: trireme_hills_combat_bonus, Categories: country
Tag: tetrere_hills_combat_bonus, Categories: country
Tag: hexere_hills_combat_bonus, Categories: country
Tag: octere_hills_combat_bonus, Categories: country
Tag: mega_galley_hills_combat_bonus, Categories: country
Tag: archers_desert_combat_bonus, Categories: country
Tag: camels_desert_combat_bonus, Categories: country
Tag: chariots_desert_combat_bonus, Categories: country
Tag: heavy_cavalry_desert_combat_bonus, Categories: country
Tag: heavy_infantry_desert_combat_bonus, Categories: country
Tag: horse_archers_desert_combat_bonus, Categories: country
Tag: light_cavalry_desert_combat_bonus, Categories: country
Tag: light_infantry_desert_combat_bonus, Categories: country
Tag: supply_train_desert_combat_bonus, Categories: country
Tag: warelephant_desert_combat_bonus, Categories: country
Tag: liburnian_desert_combat_bonus, Categories: country
Tag: trireme_desert_combat_bonus, Categories: country
Tag: tetrere_desert_combat_bonus, Categories: country
Tag: hexere_desert_combat_bonus, Categories: country
Tag: octere_desert_combat_bonus, Categories: country
Tag: mega_galley_desert_combat_bonus, Categories: country
Tag: archers_marsh_combat_bonus, Categories: country
Tag: camels_marsh_combat_bonus, Categories: country
Tag: chariots_marsh_combat_bonus, Categories: country
Tag: heavy_cavalry_marsh_combat_bonus, Categories: country
Tag: heavy_infantry_marsh_combat_bonus, Categories: country
Tag: horse_archers_marsh_combat_bonus, Categories: country
Tag: light_cavalry_marsh_combat_bonus, Categories: country
Tag: light_infantry_marsh_combat_bonus, Categories: country
Tag: supply_train_marsh_combat_bonus, Categories: country
Tag: warelephant_marsh_combat_bonus, Categories: country
Tag: liburnian_marsh_combat_bonus, Categories: country
Tag: trireme_marsh_combat_bonus, Categories: country
Tag: tetrere_marsh_combat_bonus, Categories: country
Tag: hexere_marsh_combat_bonus, Categories: country
Tag: octere_marsh_combat_bonus, Categories: country
Tag: mega_galley_marsh_combat_bonus, Categories: country
Tag: archers_jungle_combat_bonus, Categories: country
Tag: camels_jungle_combat_bonus, Categories: country
Tag: chariots_jungle_combat_bonus, Categories: country
Tag: heavy_cavalry_jungle_combat_bonus, Categories: country
Tag: heavy_infantry_jungle_combat_bonus, Categories: country
Tag: horse_archers_jungle_combat_bonus, Categories: country
Tag: light_cavalry_jungle_combat_bonus, Categories: country
Tag: light_infantry_jungle_combat_bonus, Categories: country
Tag: supply_train_jungle_combat_bonus, Categories: country
Tag: warelephant_jungle_combat_bonus, Categories: country
Tag: liburnian_jungle_combat_bonus, Categories: country
Tag: trireme_jungle_combat_bonus, Categories: country
Tag: tetrere_jungle_combat_bonus, Categories: country
Tag: hexere_jungle_combat_bonus, Categories: country
Tag: octere_jungle_combat_bonus, Categories: country
Tag: mega_galley_jungle_combat_bonus, Categories: country
Tag: archers_farmland_combat_bonus, Categories: country
Tag: camels_farmland_combat_bonus, Categories: country
Tag: chariots_farmland_combat_bonus, Categories: country
Tag: heavy_cavalry_farmland_combat_bonus, Categories: country
Tag: heavy_infantry_farmland_combat_bonus, Categories: country
Tag: horse_archers_farmland_combat_bonus, Categories: country
Tag: light_cavalry_farmland_combat_bonus, Categories: country
Tag: light_infantry_farmland_combat_bonus, Categories: country
Tag: supply_train_farmland_combat_bonus, Categories: country
Tag: warelephant_farmland_combat_bonus, Categories: country
Tag: liburnian_farmland_combat_bonus, Categories: country
Tag: trireme_farmland_combat_bonus, Categories: country
Tag: tetrere_farmland_combat_bonus, Categories: country
Tag: hexere_farmland_combat_bonus, Categories: country
Tag: octere_farmland_combat_bonus, Categories: country
Tag: mega_galley_farmland_combat_bonus, Categories: country
Tag: archers_forest_combat_bonus, Categories: country
Tag: camels_forest_combat_bonus, Categories: country
Tag: chariots_forest_combat_bonus, Categories: country
Tag: heavy_cavalry_forest_combat_bonus, Categories: country
Tag: heavy_infantry_forest_combat_bonus, Categories: country
Tag: horse_archers_forest_combat_bonus, Categories: country
Tag: light_cavalry_forest_combat_bonus, Categories: country
Tag: light_infantry_forest_combat_bonus, Categories: country
Tag: supply_train_forest_combat_bonus, Categories: country
Tag: warelephant_forest_combat_bonus, Categories: country
Tag: liburnian_forest_combat_bonus, Categories: country
Tag: trireme_forest_combat_bonus, Categories: country
Tag: tetrere_forest_combat_bonus, Categories: country
Tag: hexere_forest_combat_bonus, Categories: country
Tag: octere_forest_combat_bonus, Categories: country
Tag: mega_galley_forest_combat_bonus, Categories: country
Tag: archers_ocean_combat_bonus, Categories: country
Tag: camels_ocean_combat_bonus, Categories: country
Tag: chariots_ocean_combat_bonus, Categories: country
Tag: heavy_cavalry_ocean_combat_bonus, Categories: country
Tag: heavy_infantry_ocean_combat_bonus, Categories: country
Tag: horse_archers_ocean_combat_bonus, Categories: country
Tag: light_cavalry_ocean_combat_bonus, Categories: country
Tag: light_infantry_ocean_combat_bonus, Categories: country
Tag: supply_train_ocean_combat_bonus, Categories: country
Tag: warelephant_ocean_combat_bonus, Categories: country
Tag: liburnian_ocean_combat_bonus, Categories: country
Tag: trireme_ocean_combat_bonus, Categories: country
Tag: tetrere_ocean_combat_bonus, Categories: country
Tag: hexere_ocean_combat_bonus, Categories: country
Tag: octere_ocean_combat_bonus, Categories: country
Tag: mega_galley_ocean_combat_bonus, Categories: country
Tag: archers_coastal_terrain_combat_bonus, Categories: country
Tag: camels_coastal_terrain_combat_bonus, Categories: country
Tag: chariots_coastal_terrain_combat_bonus, Categories: country
Tag: heavy_cavalry_coastal_terrain_combat_bonus, Categories: country
Tag: heavy_infantry_coastal_terrain_combat_bonus, Categories: country
Tag: horse_archers_coastal_terrain_combat_bonus, Categories: country
Tag: light_cavalry_coastal_terrain_combat_bonus, Categories: country
Tag: light_infantry_coastal_terrain_combat_bonus, Categories: country
Tag: supply_train_coastal_terrain_combat_bonus, Categories: country
Tag: warelephant_coastal_terrain_combat_bonus, Categories: country
Tag: liburnian_coastal_terrain_combat_bonus, Categories: country
Tag: trireme_coastal_terrain_combat_bonus, Categories: country
Tag: tetrere_coastal_terrain_combat_bonus, Categories: country
Tag: hexere_coastal_terrain_combat_bonus, Categories: country
Tag: octere_coastal_terrain_combat_bonus, Categories: country
Tag: mega_galley_coastal_terrain_combat_bonus, Categories: country
Tag: archers_riverine_terrain_combat_bonus, Categories: country
Tag: camels_riverine_terrain_combat_bonus, Categories: country
Tag: chariots_riverine_terrain_combat_bonus, Categories: country
Tag: heavy_cavalry_riverine_terrain_combat_bonus, Categories: country
Tag: heavy_infantry_riverine_terrain_combat_bonus, Categories: country
Tag: horse_archers_riverine_terrain_combat_bonus, Categories: country
Tag: light_cavalry_riverine_terrain_combat_bonus, Categories: country
Tag: light_infantry_riverine_terrain_combat_bonus, Categories: country
Tag: supply_train_riverine_terrain_combat_bonus, Categories: country
Tag: warelephant_riverine_terrain_combat_bonus, Categories: country
