From;To;Type;Through;x;y;x;y;
3330;5065;river_large;4969;-1;-1;-1;-1;-1;Klolenian crossing
3949;3948;river_large;4979;-1;-1;-1;-1;-1;Klolenian crossing
3955;3956;river_large;4988;-1;-1;-1;-1;-1;Lenene crossing
3971;3970;river_large;4980;-1;-1;-1;-1;-1;Kankanan crossing
5037;5038;river_large;4972;-1;-1;-1;-1;-1;Aroak crossing
5039;5038;river_large;4972;-1;-1;-1;-1;-1;Aroak crossing
5039;5040;river_large;4972;-1;-1;-1;-1;-1;Aroak crossing
5051;3577;river_large;4986;-1;-1;-1;-1;-1;Ams Breakna crossing
5051;3905;river_large;4986;-1;-1;-1;-1;-1;Ams Breakna crossing
5051;3574;river_large;4987;-1;-1;-1;-1;-1;Ams Breakna crossing
5051;3575;river_large;4987;-1;-1;-1;-1;-1;Ams Breakna crossing
5316;3575;river_large;4973;-1;-1;-1;-1;-1;Ams Breakna crossing
3666;42;sea;5562;-1;-1;-1;-1;-1;Shegga crossing
3666;97;sea;5562;-1;-1;-1;-1;-1;Shegga crossing
3666;96;sea;5562;-1;-1;-1;-1;-1;Shegga crossing
3592;70;sea;5634;-1;-1;-1;-1;-1;Gondethil crossing
405;404;sea;5660;-1;-1;-1;-1;-1; crossing
3586;3588;sea;4842;-1;-1;-1;-1;-1; crossing
3588;3927;sea;4843;-1;-1;-1;-1;-1; crossing
3927;3587;sea;4843;-1;-1;-1;-1;-1; crossing
3587;3584;sea;4844;-1;-1;-1;-1;-1; crossing
3576;3569;sea;4835;-1;-1;-1;-1;-1;Tarsus crossing
2549;2417;sea;5622;-1;-1;-1;-1;-1; crossing
2552;2456;sea;5553;-1;-1;-1;-1;-1; crossing
3802;2479;sea;5550;-1;-1;-1;-1;-1; crossing
3799;2273;sea;5534;-1;-1;-1;-1;-1; crossing
3269;3302;sea;4782;-1;-1;-1;-1;-1; crossing
3278;3279;sea;4758;-1;-1;-1;-1;-1; crossing
3620;2095;sea;5654;-1;-1;-1;-1;-1; crossing
3667;1376;sea;5523;-1;-1;-1;-1;-1; crossing
1380;1379;sea;5523;-1;-1;-1;-1;-1; crossing
1380;1378;sea;5523;-1;-1;-1;-1;-1; crossing
1363;1374;sea;5525;-1;-1;-1;-1;-1; crossing
1363;1373;sea;5525;-1;-1;-1;-1;-1; crossing
3701;3758;sea;2991;-1;-1;-1;-1;-1; crossing
3760;3758;sea;2994;-1;-1;-1;-1;-1; crossing
3697;3755;sea;2997;-1;-1;-1;-1;-1; crossing
114;722;sea;3501;-1;-1;-1;-1;-1; crossing
141;722;sea;3504;-1;-1;-1;-1;-1; crossing
;;;;-1;-1;-1;-1;-1;
-1;-1;;-1;-1;-1;-1;-1;
